Proportion	Species	Partition	Mean	MeanSTD
0.0194	Picea mariana	Continuous	-1.33728425038879	-1.38001744027832
0.905	Picea pungens	Patchy	0.622083814309676	0.641962628971831
0.0774	Pseudotsuga menziesii	Continuous	-0.849406420698872	-0.876549375428621
0.2394	Larix decidua	Continuous	-0.214964534646726	-0.221833770021256
0.2734	Pinus taeda	Continuous	-0.247963768947912	-0.255887501558308
0.0462	Pinus contorta	Continuous	-1.33546265138933	-1.37813763171277
0.9828	Pinus pinaster	Patchy	0.910827509399936	0.939933187496779
0.9457	Abies procera	Patchy	0.899316062681593	0.928053890160009
0.3359	Picea abies	Continuous	-0.304121470174272	-0.313839733535754
0.8714	Pinus ponderosa	Patchy	0.460357893840039	0.47506872385908
0.9879	Pinus radiata	Patchy	1.3051147272661	1.34681993350903
0.1886	Pinus sylvestris	Continuous	-0.330914573374036	-0.341489015791266
1	Picea omorika	Patchy	1.89015515535472	1.95055544732777
0.0386	Abies alba	Continuous	-0.841548304754669	-0.868440151793051
0.1259	Pinus elliottii	Continuous	-0.580453907770477	-0.599002430312086
0.6023	Pinus virginiana	Patchy	0.115900992804233	0.119604632574498
0.9799	Pinus monticola	Patchy	1.09722371155017	1.13228571815298
0.0604	Picea glauca	Continuous	-1.25885998506138	-1.29908711162054
