StudyID	OriginalID	SpeciesID	Fragmentation	InbreedingLevel	Relic	LifeStage	Interaction	ID	SE	InbreedingLevelCont	kmeansID	manual	manual_int	kmeansID_int	manual_int2	kmeansID_int2
1	1	2	1	2	3	1	1	5	0.247	0.1901092	0.5	2	2	2	2	1	1
2	1	2	1	2	3	1	3	7	0.308	0.2777315	0.5	2	2	2	2	3	3
3	2	3	1	2	3	1	1	5	0.473	0.11	0.5	2	2	2	2	1	1
4	2	3	1	2	3	1	2	6	0.122	0.213	0.5	2	2	2	2	2	2
5	2	3	1	2	3	1	3	7	0.111	0.065	0.5	2	2	2	2	3	3
6	2	3	1	2	3	1	3	7	0.21	0.128	0.5	2	2	2	2	3	3
7	2	3	1	2	3	1	3	7	0.209	0.074	0.5	2	2	2	2	3	3
8	3	4	2	1	3	1	1	1	0.868	0.043	0.5	1	1	1	1	2	2
9	3	4	3	1	3	1	1	1	0.818	0.082	0.5	1	1	1	1	2	2
10	4	5	4	1	3	1	1	1	0.83	0.074	0.5	1	1	1	1	2	2
11	4	5	4	1	3	1	3	3	0.258	0.116	0.5	1	1	3	3	2	2
12	5	6	5	1	3	1	1	1	0.181	0.368	0.5	1	1	1	1	2	2
13	5	6	5	1	3	1	2	2	0.707	0.143	0.5	1	1	2	2	2	2
14	5	6	6	2	3	1	3	7	0.114	0.129	0.5	1	2	2	3	3	2
15	6	7	7	2	1	1	3	7	-0.001	0.038	0.125	2	2	2	2	3	3
16	6	7	7	2	1	1	3	7	0.02836005	0.02670737	0.125	2	2	2	2	3	3
17	6	7	7	2	1	1	3	7	0.04774536	0.04395303	0.125	2	2	2	2	3	3
18	6	7	7	2	2	1	3	7	-0.022	0.034	0.25	2	2	2	2	3	3
19	6	7	7	2	2	1	3	7	0.054	0.028	0.25	2	2	2	2	3	3
20	6	7	7	2	2	1	3	7	0.1	0.043	0.25	2	2	2	2	3	3
21	6	7	7	2	3	1	3	7	0.072	0.045	0.5	2	2	2	2	3	3
22	6	7	7	2	3	1	3	7	0.153	0.029	0.5	2	2	2	2	3	3
23	6	7	7	2	3	1	3	7	0.25	0.042	0.5	2	2	2	2	3	3
24	6	7	7	2	4	1	3	7	0.198	0.066	0.75	2	2	2	2	3	3
25	6	7	7	2	4	1	3	7	0.265	0.033	0.75	2	2	2	2	3	3
26	6	7	7	2	4	1	3	7	0.37	0.05	0.75	2	2	2	2	3	3
27	7	9	4	1	3	1	1	1	0.865	0.044	0.5	1	1	1	1	2	2
28	7	9	4	1	3	1	2	2	0.084	0.155	0.5	1	1	2	2	2	2
29	7	9	4	1	3	1	2	2	0.016	0.041	0.5	1	1	2	2	2	2
30	7	9	4	1	3	1	3	3	0.31	0.065	0.5	1	1	3	3	2	2
31	7	9	4	1	3	1	3	3	-0.014	0.036	0.5	1	1	3	3	2	2
32	7	9	4	1	3	1	3	3	0.053	0.092	0.5	1	1	3	3	2	2
33	7	9	4	1	3	1	3	3	0.27	0.052	0.5	1	1	3	3	2	2
34	7	9	4	1	3	1	3	3	0.238	0.148	0.5	1	1	3	3	2	2
35	7	9	4	1	3	1	3	3	0.288	0.08	0.5	1	1	3	3	2	2
36	7	9	4	1	3	1	4	4	0.444	0.057	0.5	1	1	4	4	2	2
37	7	9	4	1	3	1	4	4	0.64	0.072	0.5	1	1	4	4	2	2
38	7	9	4	1	3	1	4	4	0.077	0.044	0.5	1	1	4	4	2	2
39	8	10	2	1	3	1	1	1	0.716	0.027	0.5	1	1	1	1	2	2
40	8	10	2	1	3	1	2	2	0.139	0.003	0.5	1	1	2	2	2	2
41	8	10	2	1	3	1	2	2	0.074	0.003	0.5	1	1	2	2	2	2
42	8	10	2	1	3	1	2	2	0.128	0.2	0.5	1	1	2	2	2	2
43	8	10	2	1	3	1	2	2	0.015	0.008	0.5	1	1	2	2	2	2
44	8	10	2	1	3	1	3	3	0.168	0.028	0.5	1	1	3	3	2	2
45	9	11	9	2	3	1	4	8	0.347	0.041	0.5	2	2	2	2	4	4
46	9	11	9	2	3	1	4	8	0.3	0.03	0.5	2	2	2	2	4	4
47	10	12	10	2	2	1	1	5	-0.024	0.05	0.25	2	2	2	2	1	1
48	10	12	10	2	2	1	1	5	0.03	0.035	0.25	2	2	2	2	1	1
49	10	12	10	2	3	1	1	5	0.566	0.1	0.5	2	2	2	2	1	1
