mean	se_mean	sd	2.5%	50%	97.5%	n_eff	Rhat
alpha	 3.5e-01	 1.1e-03	 6.7e-02	 2.1e-01	 3.5e-01	 4.8e-01	 3.9e+03	 1.0e+00
beta[1]	 1.3e-01	 9.0e-04	 6.6e-02	 4.3e-04	 1.3e-01	 2.6e-01	 5.3e+03	 1.0e+00
beta[2]	-8.8e-02	 8.8e-04	 6.1e-02	-2.1e-01	-9.0e-02	 3.1e-02	 4.9e+03	 1.0e+00
beta[3]	-5.2e-02	 8.6e-04	 5.8e-02	-1.7e-01	-5.1e-02	 6.2e-02	 4.6e+03	 1.0e+00
beta[4]	 1.1e-02	 1.2e-03	 8.6e-02	-1.6e-01	 1.1e-02	 1.8e-01	 5.1e+03	 1.0e+00
gamma[1]	 6.0e-02	 6.5e-04	 4.4e-02	-2.5e-02	 6.0e-02	 1.5e-01	 4.5e+03	 1.0e+00
gamma[2]	-6.0e-02	 6.5e-04	 4.4e-02	-1.5e-01	-6.0e-02	 2.5e-02	 4.5e+03	 1.0e+00
delta[1]	 1.8e-01	 1.0e-03	 7.3e-02	 4.0e-02	 1.8e-01	 3.3e-01	 5.4e+03	 1.0e+00
delta[2]	-1.0e-01	 1.0e-03	 7.2e-02	-2.5e-01	-1.0e-01	 3.9e-02	 5.0e+03	 1.0e+00
delta[3]	-7.1e-02	 1.0e-03	 7.1e-02	-2.1e-01	-7.2e-02	 6.8e-02	 4.7e+03	 1.0e+00
delta[4]	-1.6e-02	 1.0e-03	 7.3e-02	-1.6e-01	-1.7e-02	 1.3e-01	 5.1e+03	 1.0e+00
delta[5]	-7.4e-02	 9.5e-04	 7.6e-02	-2.2e-01	-7.3e-02	 7.5e-02	 6.3e+03	 1.0e+00
delta[6]	-1.8e-03	 9.4e-04	 7.8e-02	-1.6e-01	-1.1e-03	 1.5e-01	 6.9e+03	 1.0e+00
delta[7]	 6.3e-03	 9.4e-04	 6.7e-02	-1.2e-01	 6.4e-03	 1.4e-01	 5.0e+03	 1.0e+00
delta[8]	 7.9e-02	 1.5e-03	 1.1e-01	-1.3e-01	 8.0e-02	 2.9e-01	 5.3e+03	 1.0e+00
epsilon[1]	 1.7e-01	 1.1e-03	 8.8e-02	 3.4e-03	 1.7e-01	 3.5e-01	 6.2e+03	 1.0e+00
epsilon[2]	-1.3e-01	 1.0e-03	 8.0e-02	-2.9e-01	-1.3e-01	 2.9e-02	 5.9e+03	 1.0e+00
epsilon[3]	 1.1e-02	 9.2e-04	 6.4e-02	-1.1e-01	 9.8e-03	 1.4e-01	 4.8e+03	 1.0e+00
epsilon[4]	-5.7e-02	 1.6e-03	 1.2e-01	-3.0e-01	-5.7e-02	 1.7e-01	 5.7e+03	 1.0e+00
sigma_y	 1.3e+00	 2.6e-03	 1.6e-01	 1.0e+00	 1.3e+00	 1.6e+00	 3.5e+03	 1.0e+00
sigma_g	 4.8e-02	 7.7e-04	 1.8e-02	 1.7e-02	 4.7e-02	 8.8e-02	 5.7e+02	 1.0e+00
sigma_sp	 2.8e-02	 1.4e-03	 2.1e-02	 9.9e-04	 2.4e-02	 7.9e-02	 2.3e+02	 1.0e+00
