mean	50%	sd	2.5%	97.5%
alpha	 0.34760	 0.34718	 0.06684	 0.21371	 0.47910
beta[1]	 0.12931	 0.12988	 0.06555	 0.00043	 0.25684
beta[2]	-0.08847	-0.09024	 0.06111	-0.20536	 0.03132
beta[3]	-0.05187	-0.05097	 0.05833	-0.16751	 0.06193
beta[4]	 0.01103	 0.01054	 0.08611	-0.16226	 0.18073
gamma[1]	 0.06017	 0.06047	 0.04378	-0.02527	 0.14575
gamma[2]	-0.06017	-0.06047	 0.04378	-0.14575	 0.02527
delta[1]	 0.18264	 0.18250	 0.07337	 0.04027	 0.32850
delta[2]	-0.10464	-0.10446	 0.07235	-0.24580	 0.03856
delta[3]	-0.07149	-0.07164	 0.07066	-0.20981	 0.06827
delta[4]	-0.01648	-0.01684	 0.07275	-0.15765	 0.12658
delta[5]	-0.07386	-0.07330	 0.07577	-0.22063	 0.07477
delta[6]	-0.00185	-0.00107	 0.07779	-0.15507	 0.15058
delta[7]	 0.00626	 0.00635	 0.06655	-0.12380	 0.13505
delta[8]	 0.07941	 0.07962	 0.10617	-0.12929	 0.28866
epsilon[1]	 0.17384	 0.17491	 0.08842	 0.00335	 0.34552
epsilon[2]	-0.12699	-0.12590	 0.07982	-0.28954	 0.02897
epsilon[3]	 0.01062	 0.00978	 0.06395	-0.11240	 0.13641
epsilon[4]	-0.05747	-0.05745	 0.11812	-0.29561	 0.16929
sigma_y	 1.27908	 1.27091	 0.15515	 0.99948	 1.60453
sigma_g	 0.04805	 0.04651	 0.01847	 0.01685	 0.08832
sigma_sp	 0.02761	 0.02366	 0.02142	 0.00099	 0.07888
